layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.1389916083161854,3,128,42.666666666666664,3.4780915747006294,1.6138101840985668,0.9812641667591799,True,2.910670280456543,conv2d,2.352615707562833,1.6335406034121212,0.46399301152312894,encoder.initial.0,27,43.007144033908844,27,23,0,9,0.5167178126784755,2.910670280456543,14.775683911254664,success,1.7060686349868774,1.186983585357666,,0,2.910670280456543,1.1053333282470703
8,Conv2d,0.042496454333873224,128,128,1.0,1.5876651830214186,2.110818462952022,0.7851792387585419,True,21.355566024780273,conv2d,3.5387243435310873,2.966059570511402,1.3295110867991782,encoder.downsample_blocks.0.0,1152,924.8250199458604,1152,447,0,9,0.02779560936694204,21.355566024780273,43.306041098265666,success,4.621208190917969,0.0029612251091748476,over-trained,4,21.355566024780273,0.096370629966259
11,Conv2d,0.053148591197915984,128,128,1.0,1.599121355763537,2.1956644871544966,0.8946297193075601,True,23.60719108581543,conv2d,3.6951814837339985,3.188890613621693,1.3730443153928904,encoder.downsample_blocks.0.3,2048,1544.8652830820338,2048,711,1,16,0.022468806285198387,23.60719108581543,65.44045318505844,success,4.858723163604736,0.003368137404322624,over-trained,8,23.60719108581543,0.14821667969226837
14,Conv2d,0.07696600135820786,128,128,1.0,1.5359174197111676,2.3072447140132564,0.8413107948128977,True,31.78287696838379,conv2d,3.4426152836640185,3.0025194993522413,1.5021932067461925,encoder.downsample_blocks.0.6,1152,1005.8182221376038,1152,533,0,9,0.023213160236407227,31.78287696838379,31.64654424261679,success,5.637630462646484,0.0032874555326998234,over-trained,4,31.78287696838379,0.09830696880817413
18,Conv2d,0.07720011761500617,128,128,1.0,1.5106749209211106,2.305072885929067,0.8365744191271681,True,33.56265640258789,conv2d,3.456225712875392,3.0200857907904304,1.525856326868513,encoder.downsample_blocks.1.0,1152,1047.3354188795124,1152,587,0,9,0.021077809724686515,33.56265640258789,31.205379166553584,success,5.793328762054443,0.005273713264614344,over-trained,3,33.56265640258789,0.07579264789819717
21,Conv2d,0.07262045519508054,128,128,1.0,2.103527996903299,3.31889978923624,0.8923462327671909,True,37.82490158081055,conv2d,4.360609523943821,3.2253337464278915,1.5777778066762818,encoder.downsample_blocks.1.3,2048,1680.094640523392,2048,178,0,16,0.08271292033731495,37.82490158081055,44.41768703439914,success,6.150195121765137,0.0023868554271757603,,9,37.82490158081055,2.2085235118865967
24,Conv2d,0.0783450708148623,128,128,1.0,1.9481000515054303,3.1314636096946145,0.8238182142746127,True,40.499061584472656,conv2d,3.9693429012466006,3.0101407480787024,1.6074449601675838,encoder.downsample_blocks.1.6,1152,1023.6246793491226,1152,150,0,9,0.07741204504315848,40.499061584472656,25.27526908775537,success,6.363887310028076,0.0024563686456531286,over-trained,3,40.499061584472656,1.355059266090393
28,Conv2d,0.06917772707133407,128,128,1.0,2.102503707448398,3.199331189707823,0.8469566766200977,True,33.2412109375,conv2d,4.076114099091675,3.0239968764548055,1.5216768362280495,encoder.downsample_blocks.2.0,1152,1056.8099083678749,1152,127,1,9,0.09783138414597349,33.2412109375,31.792160350442252,success,5.765519142150879,0.003764950903132558,,2,33.2412109375,1.9604336023330688
31,Conv2d,0.07005142522270735,128,128,1.0,3.8191822353014833,5.9746611271470185,0.9175339652065929,True,36.676029205322266,conv2d,6.6330485838504645,3.2481222225493696,1.5643823098887513,encoder.downsample_blocks.2.3,2048,1770.6071863274103,2048,41,1,16,0.44028229513656203,36.676029205322266,48.276959766147954,success,6.0560736656188965,0.0038427640683948994,,4,36.676029205322266,9.89673900604248
34,Conv2d,0.06211193074424548,128,128,1.0,3.2128438796850514,5.4359774455472065,0.8593102198450815,True,49.198509216308594,conv2d,5.6108472021843365,3.0140190098145823,1.6919519432360606,encoder.downsample_blocks.2.6,1152,1032.8066124893942,1152,42,0,9,0.3414492235785157,49.198509216308594,20.99264040600307,success,7.014164924621582,0.0034406862687319517,,5,49.198509216308594,6.354146957397461
42,Conv2d,0.03996334071947072,128,256,2.0,1.8371617435292709,3.1265960636420567,0.8417872383349142,True,50.334083557128906,conv2d,3.8894272968004624,3.0194796544403086,1.7018621657316486,encoder.residual_stack.stack.0.res_block.1,1152,1045.8746928237379,1152,357,0,9,0.04430729795622822,50.334083557128906,20.7786576989462,success,7.094651699066162,0.1064784824848175,over-trained,0,50.334083557128906,0.38622328639030457
